subtitle,sq_mt_built,n_rooms,n_bathrooms,is_exact_address_hidden,street_name,floor,is_floor_under,is_rent_price_known,buy_price,buy_price_by_area,is_buy_price_known,house_type_id,is_renewal_needed,is_new_development,has_lift,is_exterior,energy_certificate,has_parking,price_m2,total_rooms,m2_per_room
Buena Vista,63.0,1,1.0,False,Calle AZCOITIA,0,True,False,125000,1984,True,Flat,False,False,False,True,G,False,1886.6,2.0,31.5
Buena Vista,102.0,2,2.0,False,missing,2,False,False,215000,2108,True,Flat,False,missing,True,missing,E,False,1886.6,4.0,25.5
Buena Vista,90.0,2,2.0,True,Calle de Joaquín Turina,0,True,False,210000,2333,True,Flat,False,False,True,True,in process,True,1886.6,4.0,22.5
Buena Vista,59.0,3,1.0,True,Roa,2,False,False,109000,1847,True,Flat,True,False,False,True,F,False,1886.6,4.0,14.75
Buena Vista,57.0,1,1.0,True,Calle Guayaba,2,False,False,128000,2246,True,Flat,False,False,True,True,G,False,1886.6,2.0,28.5
Buena Vista,57.0,3,1.0,True,Aguacate,4,False,False,127600,2239,True,Flat,True,False,False,True,E,False,1886.6,4.0,14.25
Buena Vista,57.0,3,1.0,False,Calle del Aguacate,4,False,False,127600,2239,True,Flat,True,False,False,True,not indicated,False,1886.6,4.0,14.25
Buena Vista,271.0,6,5.0,True,Avenida de Carabanchel Alto,0,True,False,339000,1251,True,Flat,True,False,False,missing,in process,False,1886.6,11.0,24.636363636363637
Buena Vista,100.0,3,1.0,False,Joaquin Turina,0,True,False,197000,1970,True,Flat,False,False,False,True,in process,True,1886.6,4.0,25.0
Buena Vista,81.0,3,1.0,True,Calle Carpio y Torta,4,False,False,129900,1604,True,Flat,False,False,False,True,D,False,1886.6,4.0,20.25
Buena Vista,177.0,2,1.0,True,JOAQUIN TURINA,missing,False,False,315000,1780,True,House,False,False,missing,missing,E,False,1886.6,3.0,59.0
Buena Vista,58.0,2,1.0,False,Calle Cambrijas,2,False,False,140000,2414,True,Flat,False,False,False,True,not indicated,False,1886.6,3.0,19.333333333333332
Buena Vista,110.0,4,2.0,False,Calle Mascaraque,2,False,False,239000,2173,True,Flat,False,False,False,True,D,True,1886.6,6.0,18.333333333333332
Buena Vista,86.0,3,1.0,False,Calle Alfredo Aleix,2,False,False,160000,1860,True,Flat,False,False,False,True,not indicated,False,1886.6,4.0,21.5
Buena Vista,51.0,1,1.0,True,Calle de la Telegrafía,0,True,False,105000,2059,True,Flat,False,False,True,True,F,False,1886.6,2.0,25.5
Buena Vista,117.0,3,2.0,False,Calle Cambrijas,3,False,False,280000,2393,True,Attic,False,False,False,True,in process,True,1886.6,5.0,23.4
